StartTime: 2020-05-20 15:16:49.551
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s) 
0x50	 15:32:17.805	-0.1069	-0.7344	-0.6646	-0.4883	-0.9766	-0.6104 
0x50	 15:32:17.805	-0.1069	-0.7344	-0.6646	-0.4883	-0.9766	-0.6104 
0x50	 15:32:17.805	-0.1167	-0.7241	-0.6680	-2.5024	-1.8921	0.5493 
0x50	 15:32:17.805	-0.1167	-0.7241	-0.6680	-2.5024	-1.8921	0.5493 
0x50	 15:32:17.805	-0.1313	-0.7095	-0.6748	-1.8921	-1.4648	0.5493 
0x50	 15:32:17.805	-0.1313	-0.7095	-0.6748	-1.8921	-1.4648	0.5493 
0x50	 15:32:17.805	-0.1226	-0.7173	-0.6729	-1.1597	-0.4272	0.0000 
0x50	 15:32:17.805	-0.1226	-0.7173	-0.6729	-1.1597	-0.4272	0.0000 
0x50	 15:32:17.805	-0.1206	-0.7197	-0.6709	-0.7935	-0.4883	0.0000 
0x50	 15:32:17.805	-0.1206	-0.7197	-0.6709	-0.7935	-0.4883	0.0000 
0x50	 15:32:17.805	-0.1133	-0.7349	-0.6660	-2.8687	-1.4648	0.8545 
0x50	 15:32:17.805	-0.1133	-0.7349	-0.6660	-2.8687	-1.4648	0.8545 
0x50	 15:32:17.805	-0.1328	-0.7231	-0.6719	-5.1880	-0.9155	0.6104 
0x50	 15:32:17.805	-0.1328	-0.7231	-0.6719	-5.1880	-0.9155	0.6104 
0x50	 15:32:17.825	-0.1328	-0.7231	-0.6719	-5.1880	-0.9155	0.6104 
0x50	 15:32:17.845	-0.1328	-0.7178	-0.6748	-6.4087	-1.5869	0.0000 
0x50	 15:32:17.845	-0.1328	-0.7178	-0.6748	-6.4087	-1.5869	0.0000 
0x50	 15:32:17.855	-0.1006	-0.7192	-0.6733	-6.8970	-0.9766	0.5493 
0x50	 15:32:17.855	-0.1006	-0.7192	-0.6733	-6.8970	-0.9766	0.5493 
0x50	 15:32:17.885	-0.1270	-0.7129	-0.6768	-7.1411	-1.9531	1.4038 
0x50	 15:32:17.885	-0.1270	-0.7129	-0.6768	-7.1411	-1.9531	1.4038 
0x50	 15:32:17.895	-0.1216	-0.7070	-0.6807	-7.0801	-1.5259	1.3428 
0x50	 15:32:17.905	-0.1216	-0.7070	-0.6807	-7.0801	-1.5259	1.3428 
0x50	 15:32:17.925	-0.1392	-0.6934	-0.6870	-5.1270	-0.7935	1.4038 
0x50	 15:32:17.925	-0.1392	-0.6934	-0.6870	-5.1270	-0.7935	1.4038 
0x50	 15:32:17.955	-0.1465	-0.7041	-0.6914	-5.0659	1.6479	1.8921 
0x50	 15:32:17.955	-0.1465	-0.7041	-0.6914	-5.0659	1.6479	1.8921 
0x50	 15:32:17.955	-0.1343	-0.6753	-0.6914	-4.5166	0.4272	-0.9155 
0x50	 15:32:17.955	-0.1343	-0.6753	-0.6914	-4.5166	0.4272	-0.9155 
0x50	 15:32:17.975	-0.1099	-0.7012	-0.7153	-0.1221	-2.0142	-3.0518 
0x50	 15:32:17.975	-0.1099	-0.7012	-0.7153	-0.1221	-2.0142	-3.0518 
0x50	 15:32:17.995	-0.1152	-0.7305	-0.7778	-0.1221	-6.5308	-1.5869 
0x50	 15:32:18.005	-0.1152	-0.7305	-0.7778	-0.1221	-6.5308	-1.5869 
0x50	 15:32:18.005	-0.0806	-0.7334	-0.8042	-5.0659	-18.0664	1.2817 
0x50	 15:32:18.045	-0.0806	-0.7334	-0.8042	-5.0659	-18.0664	1.2817 
0x50	 15:32:18.045	-0.0415	-0.7207	-0.7856	-3.1128	-24.9023	4.0894 
0x50	 15:32:18.055	-0.0415	-0.7207	-0.7856	-3.1128	-24.9023	4.0894 
0x50	 15:32:18.055	0.0122	-0.7051	-0.7983	8.2397	-26.5503	1.6479 
0x50	 15:32:18.055	0.0122	-0.7051	-0.7983	8.2397	-26.5503	1.6479 
0x50	 15:32:18.095	-0.0029	-0.7593	-0.8203	20.8130	-43.2129	2.9907 
0x50	 15:32:18.095	-0.0029	-0.7593	-0.8203	20.8130	-43.2129	2.9907 
0x50	 15:32:18.095	-0.1152	-0.8013	-0.8164	24.4751	-52.7954	4.0283 
0x50	 15:32:18.105	-0.1152	-0.8013	-0.8164	24.4751	-52.7954	4.0283 
0x50	 15:32:18.125	-0.1455	-0.8091	-0.8198	19.7144	-48.7671	-0.6104 
0x50	 15:32:18.125	-0.1455	-0.8091	-0.8198	19.7144	-48.7671	-0.6104 
0x50	 15:32:18.125	-0.0908	-0.8730	-0.7969	13.8550	-57.6172	-6.1646 
0x50	 15:32:18.145	-0.0908	-0.8730	-0.7969	13.8550	-57.6172	-6.1646 
0x50	 15:32:18.145	-0.0195	-0.8643	-0.6616	12.2070	-61.9507	-10.5591 
0x50	 15:32:18.155	-0.0195	-0.8643	-0.6616	12.2070	-61.9507	-10.5591 
0x50	 15:32:18.175	-0.1226	-0.8535	-0.5200	23.8037	-57.6172	-2.7466 
0x50	 15:32:18.175	-0.1226	-0.8535	-0.5200	23.8037	-57.6172	-2.7466 
0x50	 15:32:18.195	-0.1812	-0.8193	-0.4126	43.8232	-32.7148	2.6855 
0x50	 15:32:18.205	-0.1812	-0.8193	-0.4126	43.8232	-32.7148	2.6855 
0x50	 15:32:18.205	-0.1255	-0.8652	-0.3809	63.1714	-4.7607	1.6479 
0x50	 15:32:18.225	-0.1255	-0.8652	-0.3809	63.1714	-4.7607	1.6479 
0x50	 15:32:18.225	-0.0068	-0.9619	-0.4380	59.4482	13.8550	5.1880 
0x50	 15:32:18.245	-0.0068	-0.9619	-0.4380	59.4482	13.8550	5.1880 
0x50	 15:32:18.254	0.0317	-0.9932	-0.4697	35.4004	13.8550	12.5122 
0x50	 15:32:18.254	0.0317	-0.9932	-0.4697	35.4004	13.8550	12.5122 
0x50	 15:32:18.275	-0.0815	-0.9419	-0.4888	4.2114	25.4517	10.3149 
0x50	 15:32:18.275	-0.0815	-0.9419	-0.4888	4.2114	25.4517	10.3149 
0x50	 15:32:18.314	-0.0850	-0.8608	-0.4072	-19.0430	29.2969	12.1460 
0x50	 15:32:18.314	-0.0850	-0.8608	-0.4072	-19.0430	29.2969	12.1460 
0x50	 15:32:18.314	-0.0781	-0.8467	-0.4487	-12.4512	25.2686	9.9487 
0x50	 15:32:18.324	-0.0781	-0.8467	-0.4487	-12.4512	25.2686	9.9487 
0x50	 15:32:18.334	-0.0098	-0.8379	-0.4888	3.4180	34.4849	12.0239 
0x50	 15:32:18.345	-0.0098	-0.8379	-0.4888	3.4180	34.4849	12.0239 
0x50	 15:32:18.354	-0.0259	-0.8242	-0.5024	18.6768	19.5923	20.6299 
0x50	 15:32:18.354	-0.0259	-0.8242	-0.5024	18.6768	19.5923	20.6299 
0x50	 15:32:18.375	-0.1436	-0.7900	-0.4536	11.3525	4.2725	23.4375 
0x50	 15:32:18.375	-0.1436	-0.7900	-0.4536	11.3525	4.2725	23.4375 
0x50	 15:32:18.395	-0.2061	-0.7725	-0.4155	-6.1035	6.5918	12.2070 
0x50	 15:32:18.404	-0.2061	-0.7725	-0.4155	-6.1035	6.5918	12.2070 
0x50	 15:32:18.425	-0.1743	-0.7993	-0.4414	-18.9209	21.2402	-4.5166 
0x50	 15:32:18.425	-0.1743	-0.7993	-0.4414	-18.9209	21.2402	-4.5166 
0x50	 15:32:18.434	-0.0977	-0.7871	-0.5303	-15.1978	26.7944	-9.8267 
0x50	 15:32:18.445	-0.0977	-0.7871	-0.5303	-15.1978	26.7944	-9.8267 
0x50	 15:32:18.454	-0.1230	-0.7432	-0.5483	0.3662	11.7798	-0.3662 
0x50	 15:32:18.475	-0.1230	-0.7432	-0.5483	0.3662	11.7798	-0.3662 
0x50	 15:32:18.475	-0.2163	-0.7173	-0.4995	8.4229	-0.3662	0.1221 
0x50	 15:32:18.475	-0.2163	-0.7173	-0.4995	8.4229	-0.3662	0.1221 
0x50	 15:32:18.484	-0.2280	-0.7446	-0.4985	5.0659	3.4180	-8.5449 
0x50	 15:32:18.495	-0.2280	-0.7446	-0.4985	5.0659	3.4180	-8.5449 
0x50	 15:32:18.504	-0.1299	-0.7944	-0.5591	-1.0376	2.7466	-14.7705 
0x50	 15:32:18.534	-0.1299	-0.7944	-0.5591	-1.0376	2.7466	-14.7705 
0x50	 15:32:18.534	-0.1582	-0.8022	-0.5635	-3.9673	-5.5542	-5.9204 
0x50	 15:32:18.534	-0.1582	-0.8022	-0.5635	-3.9673	-5.5542	-5.9204 
0x50	 15:32:18.595	-0.2539	-0.7310	-0.4888	-6.9580	-9.0942	-0.7935 
0x50	 15:32:18.595	-0.2539	-0.7310	-0.4888	-6.9580	-9.0942	-0.7935 
0x50	 15:32:18.595	-0.3247	-0.6724	-0.4390	-12.8174	-1.4038	-3.2959 
0x50	 15:32:18.604	-0.3247	-0.6724	-0.4390	-12.8174	-1.4038	-3.2959 
0x50	 15:32:18.604	-0.2627	-0.6973	-0.4741	-14.5264	7.6904	-10.5591 
0x50	 15:32:18.604	-0.2627	-0.6973	-0.4741	-14.5264	7.6904	-10.5591 
0x50	 15:32:18.604	-0.1738	-0.7344	-0.5303	-17.5171	3.9063	-12.0239 
0x50	 15:32:18.614	-0.1738	-0.7344	-0.5303	-17.5171	3.9063	-12.0239 
0x50	 15:32:18.625	-0.1641	-0.6973	-0.5615	-17.3340	-1.2207	-10.6812 
0x50	 15:32:18.654	-0.1641	-0.6973	-0.5615	-17.3340	-1.2207	-10.6812 
0x50	 15:32:18.654	-0.1724	-0.6592	-0.5542	-11.5356	-2.6855	-12.3901 
0x50	 15:32:18.675	-0.1724	-0.6592	-0.5542	-11.5356	-2.6855	-12.3901 
0x50	 15:32:18.675	-0.1753	-0.6387	-0.5244	-10.2539	-2.9907	-17.7002 
0x50	 15:32:18.675	-0.1753	-0.6387	-0.5244	-10.2539	-2.9907	-17.7002 
0x50	 15:32:18.675	-0.1597	-0.7051	-0.5112	-9.8267	-4.9438	-24.8413 
0x50	 15:32:18.704	-0.1597	-0.7051	-0.5112	-9.8267	-4.9438	-24.8413 
0x50	 15:32:18.704	-0.1807	-0.7793	-0.5186	-16.1133	-1.2207	-19.3481 
0x50	 15:32:18.744	-0.1807	-0.7793	-0.5186	-16.1133	-1.2207	-19.3481 
0x50	 15:32:18.744	-0.2153	-0.7510	-0.5522	-15.0146	6.2866	-10.4980 
0x50	 15:32:18.744	-0.2153	-0.7510	-0.5522	-15.0146	6.2866	-10.4980 
0x50	 15:32:18.754	-0.1621	-0.6787	-0.6030	-5.4932	12.3901	-8.7280 
0x50	 15:32:18.754	-0.1621	-0.6787	-0.6030	-5.4932	12.3901	-8.7280 
0x50	 15:32:18.775	-0.0850	-0.6499	-0.6367	7.0190	12.0239	-19.4702 
0x50	 15:32:18.775	-0.0850	-0.6499	-0.6367	7.0190	12.0239	-19.4702 
0x50	 15:32:18.784	-0.0850	-0.6499	-0.6367	7.0190	12.0239	-19.4702 
0x50	 15:32:18.804	-0.1099	-0.6899	-0.6040	16.1743	11.3525	-31.6772 
0x50	 15:32:18.804	-0.1099	-0.6899	-0.6040	16.1743	11.3525	-31.6772 
0x50	 15:32:18.825	-0.1963	-0.7534	-0.5845	20.8740	11.4136	-32.5317 
0x50	 15:32:18.825	-0.1963	-0.7534	-0.5845	20.8740	11.4136	-32.5317 
0x50	 15:32:18.825	-0.1763	-0.7700	-0.6196	18.1885	19.8975	-34.3628 
0x50	 15:32:18.854	-0.1763	-0.7700	-0.6196	18.1885	19.8975	-34.3628 
0x50	 15:32:18.854	-0.0947	-0.7769	-0.6636	17.0288	29.1138	-40.1001 
0x50	 15:32:18.875	-0.0947	-0.7769	-0.6636	17.0288	29.1138	-40.1001 
0x50	 15:32:18.875	-0.0654	-0.8008	-0.6777	24.6582	18.9209	-40.7715 
0x50	 15:32:18.875	-0.0654	-0.8008	-0.6777	24.6582	18.9209	-40.7715 
0x50	 15:32:18.904	-0.1724	-0.8286	-0.6592	24.7803	16.8457	-29.5410 
0x50	 15:32:18.904	-0.1724	-0.8286	-0.6592	24.7803	16.8457	-29.5410 
0x50	 15:32:18.925	-0.2007	-0.7476	-0.6021	16.9067	24.4141	-23.3154 
0x50	 15:32:18.925	-0.2007	-0.7476	-0.6021	16.9067	24.4141	-23.3154 
0x50	 15:32:18.925	-0.1724	-0.6821	-0.5913	12.0239	30.7007	-26.4282 
0x50	 15:32:18.964	-0.1724	-0.6821	-0.5913	12.0239	30.7007	-26.4282 
0x50	 15:32:18.964	-0.0830	-0.6494	-0.6113	19.7754	34.5459	-33.5083 
0x50	 15:32:18.975	-0.0830	-0.6494	-0.6113	19.7754	34.5459	-33.5083 
0x50	 15:32:18.975	-0.0576	-0.6694	-0.5972	36.5601	28.5645	-35.2783 
0x50	 15:32:18.975	-0.0576	-0.6694	-0.5972	36.5601	28.5645	-35.2783 
0x50	 15:32:19.004	-0.0635	-0.7417	-0.5996	58.3496	22.5830	-32.7148 
0x50	 15:32:19.004	-0.0635	-0.7417	-0.5996	58.3496	22.5830	-32.7148 
0x50	 15:32:19.025	-0.0620	-0.7988	-0.5977	66.5894	27.9541	-26.0010 
0x50	 15:32:19.025	-0.0620	-0.7988	-0.5977	66.5894	27.9541	-26.0010 
0x50	 15:32:19.054	-0.0396	-0.7939	-0.6016	64.1479	35.8276	-21.4844 
0x50	 15:32:19.054	-0.0396	-0.7939	-0.6016	64.1479	35.8276	-21.4844 
0x50	 15:32:19.054	0.0200	-0.7842	-0.6880	58.8989	35.4004	-26.1841 
0x50	 15:32:19.075	0.0200	-0.7842	-0.6880	58.8989	35.4004	-26.1841 
0x50	 15:32:19.075	0.0327	-0.7920	-0.7124	46.3257	25.5127	-28.6255 
0x50	 15:32:19.114	0.0327	-0.7920	-0.7124	46.3257	25.5127	-28.6255 
0x50	 15:32:19.114	-0.0122	-0.7949	-0.6685	43.3350	8.9722	-27.7710 
0x50	 15:32:19.114	-0.0122	-0.7949	-0.6685	43.3350	8.9722	-27.7710 
